'707689','ACID','HMF PRE+PROBIO 250G','39','28','','','HMF PRE+PROBIO 250G for Acidic supplements','images/products/prod1.jpg',''
'707690','ACID','LACTOBACILLUS 60C','20','2','','','LACTOBACILLUS 60C for Acidic supplements','images/products/prod2.jpg',''
'707691','ACID','100 ACIDOPHILUS WITH FOS','26.99','67','','','100 ACIDOPHILUS WITH FOS for Acidic supplements','images/products/prod3.jpg',''
'707692','ACID','S STRNGTH 5 LOZENGES 60T','16.99','14','','','S STRNGTH 5 LOZENGES 60T for Acidic supplements','images/products/prod4.jpg',''
'707693','ACID','PLUS ACID- BIFID-FOS 100VC','29.99','8','','','PLUS ACID- BIFID-FOS 100VC for Acidic supplements','images/products/prod5.jpg',''
'707694','ACID','PLUS 100ML','55','46','','','PLUS 100ML for Acidic supplements','images/products/prod6.jpg',''
'707695','ACID','HMF NATOGEN (NEOGEN)','29','74','','','HMF NATOGEN (NEOGEN) for Acidic supplements','images/products/prod7.jpg',''
'707696','ACID','MEGA ACID 75GM','11.99','21','','','MEGA ACID 75GM for Acidic supplements','images/products/prod8.jpg',''
'707697','ACID','PCA-RX 30ML','199.99','26','','','PCA-RX 30ML for Acidic supplements','images/products/prod9.jpg',''
'707698','ACID','LACTOVIDEN ID 60C','40','16','','','LACTOVIDEN ID 60C for Acidic supplements','images/products/prod0.jpg',''
'707699','ACID','S INFANTS BLEND 75G','24.99','16','','','S INFANTS BLEND 75G for Acidic supplements','images/products/prod1.jpg',''
'707700','ACID','LEAF ACIDOPHILUS 120C','44.99','7','','','LEAF ACIDOPHILUS 120C for Acidic supplements','images/products/prod2.jpg',''
'707701','ACID','ULTRA FLOR+ DF 50G','42','48','','','ULTRA FLOR+ DF 50G for Acidic supplements','images/products/prod3.jpg',''
'707702','ACID','FEM DOPHILUS 30CT','30','57','','','FEM DOPHILUS 30CT for Acidic supplements','images/products/prod4.jpg',''
'707703','ACID','S STRNGTH 8 60C','36.99','3','','','S STRNGTH 8 60C for Acidic supplements','images/products/prod5.jpg',''
'707704','ACID','YOGOURT STARTER 49GM','19','89','','','YOGOURT STARTER 49GM for Acidic supplements','images/products/prod6.jpg',''
'707705','ACID','KAPS CAPS 30C','39.99','43','','','KAPS CAPS 30C for Acidic supplements','images/products/prod7.jpg',''
'707706','ACID','S ADULT BLEND 60C','26.99','79','','','S ADULT BLEND 60C for Acidic supplements','images/products/prod8.jpg',''
'707707','ACID','S CHILDRENS BLEND 60C','19.99','16','','','S CHILDRENS BLEND 60C for Acidic supplements','images/products/prod9.jpg',''
'707708','ACID','S DIGESTIVE ENZYME 120C','39.99','21','','','S DIGESTIVE ENZYME 120C for Acidic supplements','images/products/prod0.jpg',''
'707709','ACID','S STRNGTH 8 30C','26.99','31','','','S STRNGTH 8 30C for Acidic supplements','images/products/prod1.jpg',''
'707710','ACID','PROBIOTICS RX 60C','110','11','','','PROBIOTICS RX 60C for Acidic supplements','images/products/prod2.jpg',''
'707711','ACID','BABY JARRO-DOPHILUS 70G','27','9','','','BABY JARRO-DOPHILUS 70G for Acidic supplements','images/products/prod3.jpg',''
'707712','ACID','SACRO-B 60C','40','88','','','SACRO-B 60C for Acidic supplements','images/products/prod4.jpg',''
'707713','ACID','HMF STRNGTH POWDER','60','77','','','HMF STRNGTH POWDER for Acidic supplements','images/products/prod5.jpg',''
'707714','ACID','PROBIOTIC + DF 120C','45','82','','','PROBIOTIC + DF 120C for Acidic supplements','images/products/prod6.jpg',''
'707715','ACID','K KAPS 15 BILLION 30C','22.99','15','','','K KAPS 15 BILLION 30C for Acidic supplements','images/products/prod7.jpg',''
'707716','ACID','K PLUS CAPS 30 BILLION 20C','39.99','39','','','K PLUS CAPS 30 BILLION 20C for Acidic supplements','images/products/prod8.jpg',''
'707717','ACID','CALDOPHILUS 90CAPS','11.99','33','','','CALDOPHILUS 90CAPS for Acidic supplements','images/products/prod9.jpg',''
'707718','ACID','PROBIO SAP-90 90C','42','22','','','PROBIO SAP-90 90C for Acidic supplements','images/products/prod0.jpg',''
'707719','ACID','DOPHILUS +FOS 100C','21','68','','','DOPHILUS +FOS 100C for Acidic supplements','images/products/prod1.jpg',''
'707720','ACID','ULTRA FLORA PLUS 60','43','65','','','ULTRA FLORA PLUS 60 for Acidic supplements','images/products/prod2.jpg',''
'707721','ACID','SACCHAROMYC BOUL 90C','32','2','','','SACCHAROMYC BOUL 90C for Acidic supplements','images/products/prod3.jpg',''
'707722','ACID','DL DUO-DOPHILUS 100C','34','51','','','DL DUO-DOPHILUS 100C for Acidic supplements','images/products/prod4.jpg',''
'707723','ACID','LACTOBACILLUS 30 C','45','99','','','LACTOBACILLUS 30 C for Acidic supplements','images/products/prod5.jpg',''
'707724','ACID','CANDIGEN SUPPOSITORY','23','59','','','CANDIGEN SUPPOSITORY for Acidic supplements','images/products/prod6.jpg',''
'707725','ACID','FLORA BEAR FOR KIDS','16.99','51','','','FLORA BEAR FOR KIDS for Acidic supplements','images/products/prod7.jpg',''
'707726','ACID','EPS JARRO-DOPHILUS 60C','35','47','','','EPS JARRO-DOPHILUS 60C for Acidic supplements','images/products/prod8.jpg',''
'707727','ACID','HMF NEURO CAPS 60C','40','3','','','HMF NEURO CAPS 60C for Acidic supplements','images/products/prod9.jpg',''
'707728','ACID','SENSITIVE COLON','29.99','9','','','SENSITIVE COLON for Acidic supplements','images/products/prod0.jpg',''
'707729','ACID','HMF INTENSIVE 30C','45','30','','','HMF INTENSIVE 30C for Acidic supplements','images/products/prod1.jpg',''
'707730','ACID','ULTIMATE PROB 120C','34.99','4','','','ULTIMATE PROB 120C for Acidic supplements','images/products/prod2.jpg',''
